stationNumber,x,y,z
595,-22.890864518999997,4.40376598875,1.5352228507744001
596,-19.1381509371,3.0819657062299997,1.5231386468472001
597,-29.615626516699997,10.9036674535,1.5737260353673
598,-22.1401818278,3.08536058322,1.5284257252028002
599,-28.870461849399998,9.61413069683,1.5650585144037
600,-33.381983787500005,7.024735010780001,1.5593795694315
601,-31.8773295908,12.2113632743,1.5866511067528999
602,-28.867708281,12.1999649544,1.5828252572669002
603,-31.120920566000002,10.9342995361,1.5701859137442
604,-16.8106549967,-0.8528315073720001,1.5129788037039
605,-31.1169547622,13.5128441237,1.5895881804888
606,-28.121152845199997,10.9028167378,1.574872568352
607,-29.614252192600002,16.1067986617,1.608460892098
608,-28.865194963900002,14.8018539817,1.5987519140566
609,-29.6175447059,13.50695469,1.5926899713856
610,-35.634600667899996,5.72811513568,1.5784792255062
611,-30.3780544095,7.013777584600001,1.5481458358228002
